ID	Target	Tweet	Stance
1	Australians	Dec 15, 2014 ... Australians respond to the Lindt cafe siege by offering to accompany ... # IllRideWithYou: Australians offer to travel with those in religious attire following  Sydney siege ... #Illridewithyou = solidarity and no to racism towards muslim ...  Kyle Beall of the United States focuses on a highline rigged between cliffs ...	AGAINST
2	Australians	Dec 15, 2014 ... Australians have taken to social media in solidarity with the country's ... said there  was some reported racist sentiments towards Muslims especially on ... stand  united as one, we are #Australians #sydneysiege #illridewithyou.	AGAINST
3	Australians	sydneysiege, #illridewithyou, #racism, Australians, Get all the Latest news,  Breaking headlines and Top stories, photos & video in real time about news.com. au.	AGAINST
4	Australians	Dec 15, 2014 ... Campaign against Islamophobia #illridewithyou takes off on social media ...  Islamophobia under the hashtag #illridewithyou has taken off after an armed man  .... for people to show their support and speak out against racism and  Islamophobia. ... Phil Burgess, an Australian living in the United Arab Emirates, ...	AGAINST
5	Australians	Dec 16, 2014 ... After Sydney attack was reported, racists sentiments were whelming up ... when  this hashtag came to their rescue - #IllRideWithYou supports Muslim ... stand  united as one, we are #Australians #sydneysiege #illridewithyou.	AGAINST
6	Australians	Dec 18, 2014 ... sydney siege ... After all, how could Monis be labelled a terrorist without  expanding that category ... Stridently (and falsely) she said that anti-Muslim  racism was virtually unknown beyond “vicious trolls on social media”. Devine's  Australia is “the very model of a strong, harmonious society”, united in its grief.	AGAINST
7	Australians		NONE
8	Australians	Dec 15, 2014 ... Sydney was thrown into disarray yesterday, after an armed siege in the the  busiest ... #IllRideWithYou: Sydney Stands Up To Racism And Bigotry With One  ... Sydney's and Australia's social media users have united under one ...	AGAINST
9	Australians	Dec 15, 2014 ... In the aftermath of the Sydney siege, I hope the outpouring of ... There's plenty of  ignorance and racist negativity to enjoy ...... But Ruby, if it's not about islam, why  promote #IllRideWithYou? ...... After what has happened and the calls for  Australians to unite you pen an article that seeks to divide and condemn.	AGAINST
10	Australians	Dec 16, 2014 ... In response to threats of violence directed towards Australia's Muslim community  following the devastating events of the Sydney siege, ... The campaign called on  non-Muslims to tweet their route to work with the #illridewithyou hashtag ...  Sydney siege: Australia mourns with sea of flowers at site of Martin ...	AGAINST
11	Australians	Dec 15, 2014 ... ... Australians are showing the world they're not caving to racism or ... After the  hostage-taker displayed an Islamic flag in the cafe's ... But instead, Australians  have banded together on Twitter with #IllRideWithYou, ... As the crisis unfolds,  Australia continues to set an example for the United States, and the ...	AGAINST
12	Australians	Dec 15, 2014 ... AS the Sydney siege threatens to open up old prejudices, hashtag ... The  hashtag #illridewithyou has started trending on Twitter on Monday night, with  users from around the world urging people to unite against racism. ... It comes  after the country's highest Islamic office holder, Grand Mufti Ibrahim Abu ...	AGAINST
13	Australians	Dec 16, 2014 ... ANTI-ISLAMIC sentiment has flooded social media in the wake of the ... love  seeing all australians unite together to help each other through ... Racists that are  willing to put a face to their opinions hardly use ... FOLLOW US.	AGAINST
14	Australians	Dec 15, 2014 ... Man Haron Monis, the sole perpetrator of the Sydney hostage siege, is but one ...  United States ... A few years after arriving in Australia, Monis started engaging in  ... Muslim Australians in public places if they feared a racist backlash. The Twitter  hashtag #illridewithyou quickly received huge public attention.	AGAINST
15	Australians	Dec 16, 2014 ... Following inexplicable tragedies like this, it's natural to point the finger, ... banner  with the hashtag #illridewithyou – pledging solidarity with those who ... Join the  movement as Australia unites against racism by posting your ...	AGAINST
16	Australians	Dec 16, 2014 ... A unifying message of support in Australia is still trending big on Twitter, but  angry comments have also cropped up with ... Sydney siege hashtag # illridewithyou and its opponents ... You can follow BBC Trending on Twitter @ BBCtrending ... World Cup 2018: Swedes reject racism after group stage win.	AGAINST
17	Australians	Dec 22, 2014 ... One week after the tragic Sydney siege, a new grassroots ... In what began as a  stand of solidarity, the social media campaign #illridewithyou is pushing  Australians to ... They let us in on intimate details about how racism affects their  lives. ... Saed Kanawati of the United Muslims of Australia invited me to ...	AGAINST
18	Australians	This followed on from Australia's experience only a month or so ... and the Twitter  hashtag #Illridewithyou in the Sydney siege and more generally as vehicle for  combatting racism, discrimination and Islamaphobia in our community. ... To unite  people for good, as previously highlighted by ...	AGAINST
19	Australians	Dec 18, 2014 ... Following the Sydney siege this week, which resulted in the death of two  hostages, Australians have banded together under the #illridewithyou ...	AGAINST
20	Australians	Dec 18, 2014 ... After all, how many of the hundreds of thousands who tweeted their ... The  exchange took place on a Brisbane train, while the Sydney siege was taking  place in ..... has been used to unite the Australian community after this tragic  event. ..... Why is the word racism used in relation to Muslims at all - they are ...	AGAINST
