ID	Target	Tweet	Stance
1	what	Swing Vote is a 2008 American comedy-drama film about an entire U.S.  presidential election ... The entire election now comes down to this one man's  vote. Neither candidate has a majority in the electoral college without New  Mexico's electoral votes.	NONE
2	what	"Jan 13, 1993 ... The votes are electronically tallied, and Jack, after deliberating for a few ... 18, is  the first theatrical showing of a live-action interactive film, but .... ""Right now, the  technology is so primitive that it's painful to contemplate, but that will change very  soon,"" Mr. Ferren said. ... (And What to Do if You Spot Them.) ..."	AGAINST
3	what	Oct 30, 2017 ... A new film revisits election day last year, when Donald Trump scored a surprise  ... We all know what happened, but the new documentary 11/8/16, from ... She  doesn't believe anything will change for black people if she wins.	FAVOR
4	what	Jun 8, 2017 ... Selfies, disabilities, cats and doggies … voting throws up all sorts of ... All you  need to do when you arrive at the polling station is give your ...	AGAINST
5	what	In a remarkable turn-of-events, the result of the presidential election comes down  to ... Storyline. November, 2004, New Mexico. Bud is a slacker with one good ...	NONE
6	what	Swing Vote (2008) on IMDb: Plot summary, synopsis, and more... ... turn-of- events, the result of the presidential election comes down to one man's vote.	FAVOR
7	what	The U.S. Supreme Court overturned a key provision of the Voting Rights Act in ...  with a history of discrimination must seek pre-approval of changes in voting rules  ... This process, known as “preclearance,” blocks discrimination before it occurs.	NONE
8	what	Oct 10, 2018 ... Learn if you're eligible to vote, how to register, check, or update your ... Can and  Who Can't Vote; Check or Change Your Voter Registration ..... This short video  will explain why it is important to check and how easy it is to do.	AGAINST
9	what	Jan 23, 2016 ... And what happened was the academy decided to double the ... now saying they' re really going to make changes to how the voting happens.	AGAINST
10	what	Apr 7, 2017 ... Oscars: Will New Animated Voting Procedures Hurt Smaller Films? ... a low voter  turnout, which is what the Academy is hoping to change with this shift. ... “When  we first came into this business, people said we had to do huge ...	AGAINST
11	what	For over 25 years, Rock the Vote has been providing easy to use voter  registration and supplies important election information throughout the United  States. ... A world free from income inequality, crushing student debt, climate  change, and ...	AGAINST
12	what	Oct 24, 2008 ... With the 2008 election hot on our tails, we thought it would be the perfect time to  dig into our archives and.	NONE
13	what	Imagine that this coming Saturday, you're going out to the movies with a ... But  voting this way is hard: you have to know what you want government to do ... But  if things seem to be going badly for the country, it might be a good time to change .	AGAINST
14	what	I turn 18 after the voter registration deadline but before the election. ... What  happens if I do not want to declare a political party preference at the Primary  Election? ... If your cell phone has a camera, you cannot take photographs or film  video ...	AGAINST
15	what	Mobile Film Festival. 1mobile, 1minute, 1film, 1theme #StandUp4HumanRights.  Win 66 000 € to produce your film with YouTube Creators for Change, ...	NONE
16	what	Sep 20, 2018 ... A new short film has been released setting out how it is alright for people ... 'The  hard Brexiteers keep telling us that people are forbidden to change their minds,  but changing your mind as ..... your mind about Brexit is a perfectly reasonable  thing to do. ... More about Brexit people's vote Chequers Short Film.	NONE
17	what	You can register to vote or update your voter registration at any Kansas City  Public Library ... You move; You change your name; Complete a felony sentence  ...	FAVOR
18	what	You have the right to vote in Indiana if: You are both a U.S. citizen and a resident  of Indiana; and; You will be at least 18 years of age on or before the next ...	FAVOR
19	what	Dec 21, 2017 ... A court determined one ballot should have been counted for Del. ... on slips of  paper into two film canisters and then drawing the canisters from a ... had  affirmed that this result was accurate yesterday before changing their minds  today. ... who also happened to be Yancey's campaign manager — had seen ...	AGAINST
20	what	Jan 8, 2015 ... Unfortunately, the act did not grant voting rights outright to all citizens. ... the  board, the film is a fair representation of what happened and the ...	FAVOR
